machine_id,timestamp,operating_hours,vibration_zscore,RUL_predicted_hours,RUL_predicted_days,next_maintenance_days,health_status,expected_failure_date
M01,2026-04-06 01:06:07,1351.888888888745,0.0,5.66,0.24,0.5,CRITICAL,2026-04-06 06:45
M02,2026-04-06 01:06:07,509.888888888745,0.0,6.4,0.27,0.5,CRITICAL,2026-04-06 07:30
M03,2026-04-06 01:06:07,199.88888888894735,0.0,5.94,0.25,0.5,CRITICAL,2026-04-06 07:02
M04,2026-04-06 01:06:07,198.88888888894735,0.0,5.77,0.24,0.5,CRITICAL,2026-04-06 06:52
M05,2026-04-06 01:06:07,79.88888888884617,0.0,5.84,0.24,0.5,CRITICAL,2026-04-06 06:56
M06,2026-04-06 01:06:07,13.12916666666612,0.0,137.07,5.71,0.5,DEGRADING,2026-04-11 18:10
M07,2026-04-06 01:06:07,50.976388888889666,0.0,350.3,14.6,0.5,HEALTHY,2026-04-20 15:24
